ID,forests,bec,cum,min,var,biomass,height,cover
2816,230,2,4007.964599609375,0,1004.9220581054688,3989,10253,6379
2817,230,2,5058.72607421875,0,748.51397705078125,14732,15908,9614
2818,230,2,5190.7373046875,0,730.70648193359375,26155,21492,9251
2819,230,2,4869.86865234375,0,788.96685791015625,7214,12752,6774
2820,230,2,4870.98388671875,0,752.87188720703125,6407,13513,6250
2821,230,2,5228.49267578125,0,708.52490234375,16571,18764,8597
2822,230,2,4310.94189453125,0,807.06793212890625,3989,10253,6379
2823,230,2,3405.162353515625,0,1092.66015625,1978,9478,1451
2824,230,2,3954.884765625,0,916.77197265625,3410,10730,5740
2825,230,2,6586.91845703125,6.803449630737305,521.76251220703125,3764,9340,8145
2826,230,2,4000.31640625,0,1014.3930053710938,7385,14040,5039
2827,230,2,4795.33740234375,0,825.52099609375,17315,19306,8021
2828,230,2,4317.4296875,0,1013.3093872070313,17317,17146,9493
2829,230,2,6165.51513671875,0,641.8717041015625,17423,18568,9568
2830,230,2,4182.77587890625,0,978.79058837890625,4751,11744,4028
2831,230,2,3919.883056640625,0,1037.53173828125,5379,10321,8145
2832,230,2,4138.2255859375,0,777.6209716796875,1497,8242,801
2833,230,2,4341.29833984375,0,811.48614501953125,27229,29811,7551
2834,230,2,3617.333251953125,0,1072.775146484375,2735,9493,3406
2835,230,2,3743.51953125,0,1072.048095703125,3203,11496,1692
2836,230,2,5405.494140625,0,691.55511474609375,20623,20792,6601
2837,230,2,4818.29345703125,0,818.59893798828125,21752,20971,7066
2838,230,2,4830.4404296875,0,828.9130859375,31192,23302,8292
2839,230,2,4141.271484375,0,1011.8480834960938,7012,11092,9739
2840,230,2,4161.87646484375,0,1036.4742431640625,19872,22945,8386
2841,230,2,4196.9765625,0,911.96038818359375,6349,12235,7510
2842,230,2,4268.873046875,0,886.5606689453125,3842,10251,6638
2843,230,2,4189.52734375,0,933.1090087890625,7523,13913,5378
2844,230,2,5106.01708984375,0,669.8702392578125,34028,23794,8454
2845,230,2,4713.9443359375,0,893.04742431640625,27285,21539,9664
2846,230,2,3563.234375,0,935.74249267578125,3981,13591,1623
2847,230,2,5309.1923828125,52.834041595458984,687.06036376953125,12045,18576,8240
2848,230,2,3909.298095703125,0,1033.363525390625,6505,11313,7856
2849,230,2,5034.55322265625,0,748.994140625,23569,23639,8689
2850,230,2,5053.94970703125,0,720.939697265625,29499,24651,7167
2851,230,2,5811.40625,0,629.4150390625,9295,12861,9834
2852,230,2,4210.00390625,0,1029.2315673828125,17317,17146,9493
2853,230,2,5861.150390625,0,650.93182373046875,13911,16677,9278
2854,230,2,6051.55126953125,0,613.79608154296875,8531,14578,9095
2855,230,2,4371.38330078125,0,813.28033447265625,3268,10654,2193
2856,230,2,3765.167236328125,0,1002.7150268554688,1978,9478,1451
2857,230,2,5841.18798828125,0,629.5966796875,12277,15078,9404
2858,230,2,5215.40673828125,0,766.5611572265625,7181,14868,7480
2859,230,2,4127.57958984375,0,945.70611572265625,3842,10251,6638
2860,230,2,3975.932373046875,0,1072.681396484375,12997,15078,9697
2861,230,2,4502.56884765625,0,957.1947021484375,24876,20722,9772
2862,230,2,5781.93896484375,122.09170532226563,590.46734619140625,16122,19574,7479
2863,230,2,5120.181640625,0,655.7613525390625,27595,22008,8743
2864,230,2,3789.795654296875,0,1006.4315185546875,3558,10679,3805
2865,230,2,7423.75146484375,259.1221618652344,297.93621826171875,9758,13711,9774
2866,230,2,5973.84716796875,57.529476165771484,516.2032470703125,11900,20171,8453
2867,230,2,5029.03564453125,0,724.0623779296875,15098,24007,6241
2868,230,2,6068.826171875,0,629.7109375,10312,15592,9398
2869,230,2,4100.75732421875,0,1009.3148193359375,7359,13244,8357
2870,230,2,4010.36767578125,0,918.561279296875,16648,18556,7150
2871,230,2,5116.37158203125,0,735.49932861328125,3571,11094,4306
2872,230,2,4273.92529296875,0,962.23516845703125,16571,18764,8597
2873,230,2,6682.51220703125,105.36334228515625,438.6767578125,31807,24785,8864
2874,230,2,4151.77099609375,0,978.866943359375,6512,11754,9121
2875,230,2,5486.22412109375,0,713.3211669921875,15376,20332,7540
2876,230,2,4204.79736328125,0,1029.604736328125,12866,16337,7691
2877,230,2,4877.10888671875,0,754.04486083984375,19275,18386,8804
2878,230,2,3504.7021484375,0,1038.64453125,17321,18201,6073
